display,category,params,test_l2,batch_size,latency_ms_median,latency_ms_p25,latency_ms_p75,throughput_samples_per_sec,peak_mem_mb,status
SpectraNet (w=32 (canonical)),Ours,2124166,0.0851,32,41.35246276855469,41.339839935302734,41.363136291503906,773.8354104591201,256.34521484375,ok
SpectraNet (w=48),Ours,4776006,0.0836,1,32.66913604736328,32.58342361450195,32.71052932739258,30.6099309926719,108.34716796875,ok
SpectraNet (w=48),Ours,4776006,0.0836,8,34.237728118896484,34.094879150390625,34.35475158691406,233.66036356789223,171.20654296875,ok
SpectraNet (w=48),Ours,4776006,0.0836,32,62.14944076538086,62.125057220458984,62.16630554199219,514.8879797776874,387.17529296875,ok
SpectraNet (w=64),Ours,8487686,0.0869,1,31.917327880859375,31.796672821044922,31.998783111572266,31.330943609464683,164.591796875,ok
SpectraNet (w=64),Ours,8487686,0.0869,8,33.164432525634766,33.09977722167969,33.30598449707031,241.2222791334157,247.38916015625,ok
SpectraNet (w=64),Ours,8487686,0.0869,32,85.39107131958008,85.3587875366211,85.43186950683594,374.7464401780193,531.26416015625,ok
SpectraNet (3D-spectral variant),Ours,8574657,0.1006,1,45.18067169189453,45.014686584472656,45.3831672668457,22.1333584152845,202.83837890625,ok
SpectraNet (3D-spectral variant),Ours,8574657,0.1006,8,48.90662384033203,48.75030517578125,49.02137756347656,163.57702437440807,487.13134765625,ok
SpectraNet (3D-spectral variant),Ours,8574657,0.1006,32,148.60846710205078,148.56541442871094,148.6544647216797,215.33093385604542,1456.15869140625,ok
SpectraNet (single-shot variant),Ours,14490352,0.1942,1,4.528031826019287,4.478528022766113,4.578495979309082,220.84650427007412,306.07958984375,ok
SpectraNet (single-shot variant),Ours,14490352,0.1942,8,5.4096479415893555,5.402463912963867,5.414815902709961,1478.839304586908,685.28662109375,ok
SpectraNet (single-shot variant),Ours,14490352,0.1942,32,19.918992042541504,19.907167434692383,19.928064346313477,1606.5069925052821,1974.89208984375,ok
Transformer,Transformer,4381441,0.0284,1,107.43291473388672,106.5953598022461,108.6213150024414,9.308134313185285,96.6318359375,ok
Transformer,Transformer,4381441,0.0284,8,786.1959838867188,784.3028564453125,787.1563110351562,10.175579835005495,301.0849609375,ok
Transformer,Transformer,4381441,0.0284,32,3099.199462890625,3095.5087890625,3102.57666015625,10.325247013999409,1001.9599609375,ok
Transolver,Transformer,11200577,0.2247,1,61.0307674407959,60.95094299316406,61.14588928222656,16.385178196719707,149.890625,ok
Transolver,Transformer,11200577,0.2247,8,151.3080291748047,149.80592346191406,152.0687713623047,52.8722767960825,409.6318359375,ok
Transolver,Transformer,11200577,0.2247,32,573.7525939941406,572.4930419921875,575.0751953125,55.77316832196631,1283.0302734375,ok
U_FNO,FNO-family,39382083,0.1218,1,58.71539115905762,58.4648323059082,58.81292724609375,17.03130951288463,406.5908203125,ok
U_FNO,FNO-family,39382083,0.1218,8,65.68595123291016,65.67817687988281,65.7007064819336,121.79164417720753,486.91943359375,ok
U_FNO,FNO-family,39382083,0.1218,32,214.76736450195312,214.73382568359375,214.81126403808594,148.99842941318482,839.79443359375,ok
U_NO,FNO-family,50793877,0.1697,1,67.23828887939453,67.0778579711914,67.31743621826172,14.872478414697646,713.654296875,ok
U_NO,FNO-family,50793877,0.1697,8,69.30265808105469,69.17398071289062,69.45276641845703,115.43568777179364,753.82666015625,ok
U_NO,FNO-family,50793877,0.1697,32,133.66851043701172,133.6383056640625,133.6979217529297,239.39819405019315,1009.70166015625,ok
U_Net,U-Net,276964353,0.1387,1,60.672977447509766,60.63568115234375,60.68876647949219,16.48180198285363,2238.1494140625,ok
U_Net,U-Net,276964353,0.1387,8,135.55667114257812,135.51577758789062,135.58419799804688,59.015907757026746,2560.291015625,ok
U_Net,U-Net,276964353,0.1387,32,518.5764465332031,518.3984375,518.894287109375,61.70739186850269,3457.10302734375,ok
